"אינדקס","מקור","תרגום","הערות"
"31","restart | restart game","התחל מחדש | אתחל המשחק | אתחל | להתחיל מחדש",""
"32","cross | cross and chain","צלב | צלב ושרשרת | צלב כסף",""
"33","canyon | chasm | gorge","קניון | תהום | ערוץ | פער | ערוץ עמוק",""
"35","drink","לשתות | שתה | משקה | תשתה",""
"37","boulder | boulders | rock | rocks","בולדר | סלע | סלעים | אבן | אבנים | צור",""
"38","hole | opening","חור | בור | חורים | חור בעץ",""
"39","ring | ruby ring","טבעת | טבעת רובי | טבעת זהב | טבעת אודם",""
"40","give | offer | present","לתת | להציע | להגיש | תן | הצע | מתנה",""
"41","jewelry","תכשיטים | תכשיט | תקשיט",""
"42","kiss","נשק | נשיקה | תנשק",""
"43","embrace | hug","חבק | חיבוק | תחבק | להתחבק",""
"44","quit","לצאת | עזוב | להפסיק",""
"45","pos","מיקום | עמדה",""
"46","treasure","אוצר | אוצרות | אוצר טמון",""
"47","rusty trident | trident","קלשון חלוד | קלשון | תלת שן",""
"48","magic seahorse | sea horse | seahorse | flying horse | horse","סוס ים קסום | סוס ים | היפוקמפוס | סוס הים | סוס מעופף | סוס | סוסים | פגסוס",""
"49","object | sp","חפץ | פריט | דבר | עצם",""
"50","brambles | briars | thorns","קוצים | ברמבלים | קוץ | שיחי קוץ",""
"51","hungry lion | lion","אריה רעב | אריה | לביא",""
"52","ghost | ghosts | spook | spooks","רוח רפאים | רוחות רפאים | רוח | רוחות | רפאים",""
"53","island","אי | איים",""
"54","kill | murder","רצח | הרוג | הרג | לרצוח",""
"55","flag","דגל | דגלים",""
"57","sign","שלט | תמרור | סימן | שלטים",""
"58","count dracula | dracula | dwarf | enchanter | fiend | ghoul | king | king neptune | man | monk | neptune | vampire | wiz | wizard","הרוזן דרקולה | דרקולה | גמד | קוסם | שטן | ערפד | מלך | המלך נפטון | איש | נזיר | נפטון | ערפד | קוסם | אשף | מכשף | כומר | אל-מת | אלמת | גול | אל מת",""
"59","clam | clam shell | clamshell | shell","צדפה | קונכייה | קליפה | צדפת",""
"60","bracelet | diamond and sapphire bracelet | diamond bracelet","צמיד | צמיד יהלומים וספירים | צמיד יהלומים",""
"61","pole | stake | stick","עמוד | יתד | מקל | מוט | יתד עץ",""
"65","boat | rowboat","סירה | סירת משוטים | אוניה | ספינה | מהסירה",""
"66","who","מי | מיהו | מיהי",""
"69","branch | branches | log | logs | wood","ענף | ענפים | בול עץ | בולי עץ | עץ | עצים",""
"70","diamond and sapphire necklace | diamond necklace | necklace","שרשרת יהלומים וספירים | שרשרת יהלומים | שרשרת | ענק",""
"71","use","השתמש | תשתמש | שימוש",""
"72","hammer | mallet","פטיש | פטיש עץ | מקבת",""
"73","unlock","שחרר נעילה | תפתח מנעול | לפרוץ מנעול | לפתוח דלת עם מפתח | שחרר | שחרר נעילת",""
"74","inscription","כתובת | חריטה | כיתוב",""
"75","key","מפתח",""
"77","skull | skulls","גולגולת | גולגולות | גומגום",""
"78","bridge","גשר | גשרים | מעבר",""
"79","read","לקרוא | קרא | תקרא | קריאה",""
"80","fight","להילחם | נלחם | קרב | מלחמה | לחם | הילחם | הלחם | תקוף",""
"82","bottle | glass | jar","בקבוק | כוס | צנצנת | בקבוקים | מהבקבוק",""
"83","cloth | fabric | material","בד | חומר | בדים",""
"84","snake | viper","נחש | צפע",""
"85","knife | sword","סכין | חרב | להב | סכינים",""
"86","bridle | leather bridle","רסן | רסן עור | רסן סוס | רסן הסוס | רסן העור | רתמת העור | רתמת סוס | רתמה",""
"87","carpet | magic carpet | rug","שטיח | שטיח קסום | שטיח מעופף | מחצלת",""
"88","lie","לשקר",""
"89","light","אור | להדליק | דלק | נר | להאיר | הדלק | האר",""
"91","cabinet | display case | casket | coffin","ארון | ויטרינה | תצוגה | ארונות | ארון תצוגה | ארון מתים | ארון קבורה",""
"92","candle","נר | נרות | נר דולק | שמש",""
"93","bed","מיטה | מיטות | משכב",""
"94","programmed | wrote","תכנת | כתב | תוכנת | כתוב",""
"95","stairs | stairway | steps","מדרגות | גרם מדרגות | מדרגה | צעדים",""
"96","torch | torches","לפיד | לפידים | משואה",""
"97","chest | trunk | box | mailbox","תיבה | תיבת אוצר | קופסה | תיבת דואר | תיבת הדואר",""
"98","diamond and sapphire tiara | diamond tiara | tiara","נזר יהלומים וספירים | נזר יהלומים | נזר | כתר",""
"99","consume | eat | taste","לטעום | טעם | תאכל | אכול",""
"100","kitchen","מטבח | מטבחים | בית מטבח",""
"101","cupboard","ארון מטבח | ארונית | מזווה",""
"102","ham | meat | smoked ham","בשר חזיר | בשר | בשר מעושן | חזיר | חזיר מעושן",""
"103","table","שולחן | שולחנות | שלחן",""
"104","wake","התעורר | העיר | תתעורר | הער",""
"105","pound","להכות | קילו | לחבוט | הכה | הלום",""
"108","cushion | pillow","כרית | כר | כריות | מזרן",""
"109","pat | pet | poke | polish | rub | stroke | tap | touch","ללטף | לחיות מחמד | לדחוף | לליטוש | לטף | להקיש | לגעת | נגע | תגע | שפשף",""
"110","what is","מה זה | מהו | מה היא",""
"111","lamp | magic lamp | oil lamp","מנורה | מנורת קסמים | מנורת שמן | נר | נורה",""
"112","hush | quiet | silence","שקט | דממה | שתיקה | שקטה",""
"113","last name | name","שם משפחה | שם | שמות",""
"114","genie","שד | ג'יני | רוח",""
"115","bird | caged nightingale | nightingale","ציפור | זמיר בכלוב | זמיר | ציפורים",""
"116","bird cage | birdcage | cage","כלוב ציפורים | כלוב | כלובים",""
"117","cover | drape","לכסות | וילון | בד | כסה",""
"122","cauldron | pot","קדירה | סיר | סירים | יורה | קלחת",""
"123","brew","לבשל | בישול | מרקחת | לחמר | בשל",""
"124","aid | assist | care | help","לסייע | לטפל | עזרה | סיוע | תעזור | עזור | סייע",""
"125","put on | wear","ללבוש | לבש | תלבש | להרכיב | ענוד | ללבוש",""
"126","feed","להאכיל | האכל | תאכיל | מזון",""
"127","antique | antiques | junk","עתיק | עתיקות | זבל | ישן | עתיקים",""
"128","broth | chicken broth | chicken soup | soup","מרק | מרק עוף | מרק עוף | מרק | תמצית",""
"129","black cape | black cloak | cape | cloak","גלימה שחורה | גלימה | גלבה | מעיל | גלימות",""
"130","wolf","זאב | זאבים | זאביה",""
"131","pray | worship","להתפלל | תפלה | תתפלל | תפילה | התפלל",""
"132","graham | graham's | king graham","גרהאם | של גרהאם | מלך גרהאם | גרהם",""
"133","bow | kneel","להשתחוות | לכרוע | השתחוה | כרע | קידה | קוד",""
"135","altar","מזבח | מזבחות | מקדש",""
"136","ladder","סולם | סולמות | מדרגה",""
"137","swim | swimming | wade | wading","לשחות | שחייה | להשתכשך | שחה | תשחה",""
"138","earrings","עגילים | עגיל | תכשיטי אוזניים",""
"139","cast | throw | throw back | toss","להטיל | לזרוק בחזרה | הטל | זרוק | תזרוק | השלך | להשליך",""
"140","drop | put | set","להפיל | לקבוע | הנח | שים | תשים",""
"141","rescue | save | save game","לחלץ | לשמור משחק | הציל | שמור | תציל | חלץ",""
"142","fishing net | net","רשת דיג | רשת | רשתות | רשת דייגים",""
"143","dolphin | fish | gasping fish | golden fish | porpoise | shark","דולפין | דג | דג מתנשף | דג זהב | דג | כריש | דגים",""
"144","cliff | cliffs | mountain | mountains","צוק | צוקים | הר | הרים | פסגה",""
"146","game","משחק | משחקים | מירוץ",""
"147","restore | restore game","לשחזר משחק | שחזר | משחזר",""
"148","dig","חפור | תחפור | חפירה",""
"149","hello | hi","שלום | היי | בוקר טוב | ערב טוב",""
"150","knock","להקיש | דפק | תדפוק | דפיקה | דפוק | הקש",""
"151","lake | ocean | pond | sea | water","אגם | אוקיינוס | בריכה | ים | מים | מימי",""
"152","bouquet | bouquet of flowers","זר | זר פרחים | זרי פרחים",""
"153","fence","גדר | גדרות | מחיצה",""
"154","follow","עקוב | תעקוב | לרדוף",""
"155","sit | sit down","לשבת | שב | תשב | ישיבה",""
"156","cut","חתוך | תחתוך | חיתוך",""
"157","exit | get out | leave","צא | רד",""
"158","dive | swim under","לצלול | לשחות מתחת | תצלול | צלול",""
"159","normal","רגיל | נורמלי | רגילה",""
"160","fast","מהיר | מהר | מהירה | במהירות",""
"161","slow","איטי | לאט | איטית | באיטיות",""
"163","suntan | tan","שיזוף | להשתזף | שזוף | השתזף",""
"164","fly | fly away","לעוף | עף | תעוף | לעוף משם | עוף",""
"165","home","הביתה",""
"167","wave | waves","גל | גלים | לנופף | נוף",""
"168","move | pull | push | shove","למשוך | לדחוף | לדחף | זוז | תזוז",""
"172","pry","לחפר | לפרוץ | פרץ | לחלץ | חלץ",""
"173","abracadabra","אברקדברה | קסם | כישוף",""
"174","sesame","שומשום | סמסם",""
"175","look under","להסתכל מתחת | תסתכל מתחת | בדוק מתחת | הבט מתחת | הסתכל מתחת | חפש מתחת",""
"177","my name","השם שלי | שמי",""
"180","y | yes","כן | כן | נכון | בסדר",""
"181","no","לא | לא נכון | שלילה",""
"182","buy | purchase","לקנות | קנה | תקנה | רכישה",""
"183","steal","לגנוב | גנב | תגנוב | גניבה | גנוב",""
"185","remove | take off","הפשט | להסיר | הסר",""
"186","book shelf | bookcase","מדף ספרים | ספרייה | מדפי ספרים",""
"187","blow","לשפוך | נשוב | תנשוב",""
"188","cube | sugar | sugar cube","קוביה | סוכר | קוביית סוכר | קובה | קוביית הסוכר",""
"190","lid","מכסה",""
"191","fire | fireplace","אש | אח | בוער | מדורה",""
"192","lift","להעלות | הרם | תרים | לרומם",""
"193","back","אחור | גב | חזרה | אחורה",""
"194","fishing","דיג | דייג | דוג",""
"195","amulet","קמע | קמעות | תליון קסום | קמיע",""
"196","marry","תתחתני | האם תתחתני | רוצה להתחתן | התינשאי לי | הינשאי לי | התנשאי לי | הנשאי לי",""
"197","say","לומר | אמר | תאמר | דבר",""
"198","silver","כסף",""
"199","gold | golden","זהב",""
"200","look down","להסתכל למטה | תסתכל למטה | בדוק למטה | הבט למטה | הסתכל למטה",""
"201","point","להצביע | נקודה | צביע | תצביע",""
"202","let","לתת | תן | הרשה | אפשר | הבא",""
"203","look in | look inside","הסתכל בפנים | בדוק בתוך | הסתכל בתוך | הבט בתוך | הבט אל תוך",""
"204","thank | thank you","הודות | תודה | תודה לך | תודה רבה | הודה",""
"206","batman | batmobile | car","באטמן | באטמוביל | מכונית",""
"207","get off",הורד",""
"208","flower box | window box","ארגז פרחים | תיבת חלון | אדנית",""
"209","get on | ride","לעלות על | רכב | תרכב | לרכוב | עלה על | רכב על",""
"211","disk","דיסק | דיסקים | תקליט",""
"212","cap | hat | hats","כובע | כובעים | מצחיה",""
"213","look across","להסתכל מעבר | תסתכל מעבר | בדוק מעבר | הסתכל מעבר | הבט מעבר",""
"214","water fall | waterfall","מפל מים | מפל | נחל",""
"215","keys","מפתחות",""
"216","one","אחד | אחת | יחיד",""
"217","them","אותם | אותן | הם | הן",""
"218","both","שניהם | שתיהן | גם וגם | שתי",""
"219","chair | chairs","כיסא | כיסאות | כסא",""
"220","bureau | dresser","שידה | קומודה",""
"221","drawer","מגירה | מגירות | תא",""
"222","ramp","רמפה | כבש | רמפות",""
"224","jump","קפוץ | תקפוץ | קפיצה",""
"225","stump | stumps","גדם | גדמים | שריד עץ | גזע",""
"226","bell","פעמון | פעמונים | פעמונית",""
"227","across","מעבר | לעבר | דרך",""
"228","rat","עכבר | עכברים | חולדה",""
"229","priority","עדיפות | קדימות | חשיבות",""
"230","key hole | keyhole","חור מנעול | פתח מנעול | בית מנעול",""
"231","look up","להסתכל למעלה | תסתכל למעלה | בדוק למעלה | הבט למעלה | הסתכל למעלה",""
"232","sky","שמיים | שמים | רקיע",""
"233","quilt","שמיכה | מצעים | כיסוי",""
"234","yell","לצרוח | צרח | תצרח | צעקה",""
"235","listen","להקשיב | הקשב | תקשיב | הקשבה",""
"236","benches | pew | pews","ספסלים | ספסל | מושבים",""
"237","love","אהבה | לאהוב | אהב | תאהב",""
"238","bat","עטלף | עטלפים | מחבט",""
"239","position","עמדה | מיקום | עמדות",""
"240","var","משתנה | מ.ש | וריאנט",""
"241","sf","ס.פ | תוכנה",""
"242","reset","איפוס | אפס | תאפס | להתחיל מחדש",""
"243","credit","קרדיט | זכות | הכרת תודה",""
"244","ani","אני | אנימציה",""
"245","trace","עקיבה | מעקב | עקב | תעקב",""
"246","unknown.word","מילה לא ידועה | לא מוכר",""
"247","status","מצב | סטטוס | מעמד",""
"248","pause | pause game","השהה | השהיית משחק | הפסקה | תשהה",""
"249","stab","לדקור | דקר | תדקור | דקירה | דקור",""
"250","tester","בודק | בדיקה | נבדק",""
"251","sv","ש.מ | שמירה",""
"252","board","לוח | קרש | לוחות",""
"253","fastest","הכי מהיר | המהיר ביותר | מהירותי | מהר יותר | הכי מהר",""
"254","empty","ריק | ריקה | ריקים | חלל",""
