"אינדקס","מקור","תרגום","הערות"
"58","dwarf | enchanter | gnome | man | ogre | sorcerer | woodcutter | woodcutters","גמד | קוסם | גמד | איש | קוסם | חוטב עצים | חוטבי עצים | עוג | חוטב | חוטבים | חוטבת עצים | גנום",""
"59","goat","עז | תיש",""
"60","call","לצעוק",""
"61","carrot | carrots","גזר | גזרים",""
"62","get in | get into","להיכנס | להיכנס",""
"63","gate","שער",""
"64","carrot patch | garden","ערוגת גזר | גינה | גינת גזר",""
"65","elf","אלף",""
"66","who","מי",""
"67","mountain | mountains","הר | הרים",""
"68","lock","נעול",""
"69","branch | branches | log | logs | wood","ענף | ענפים | בול | בולים | עץ",""
"70","turn","לפנות | סובב",""
"71","use","להשתמש",""
"72","knob","ידית",""
"73","unlock","לפתוח מנעול | לשחרר נעילה | לשחרר נעילת",""
"74","clover | four leaf clover | four-leaf clover | fourleaf clover","תלתן | תלתן ארבע עלים | תלתן ארבע עלים | תלתן ארבע עלים",""
"75","gold key | key","מפתח זהב | מפתח | מפתח הזהב",""
"76","cave | cavern | chamber","מערה | מערה | חדר",""
"77","hall","אולם",""
"78","bridge","גשר",""
"79","read","לקרוא | קרא ",""
"80","attack | fight | hit","לתקוף | להילחם | להכות",""
"81","chandelier | light","נברשת | אור | מנורת שמן",""
"82","armor | kinghts | knight","שריון | אבירים | אביר",""
"83","bowl","קערה",""
"84","pebbles","חלוקי נחל | חלוקים | חלוקי הנחל | חלוק | חלוק נחל",""
"85","pump | water pump","משאבה | משאבת מים | שאוב | ברז",""
"86","ax | axe | hatchet","גרזן | גרזן | כלי קטן",""
"87","window","חלון | חלונות",""
"88","clouds","עננים",""
"89","sling | slingshot","קלע | קלע",""
"90","gold nut | gold walnut | golden walnut | nut | nuts | walnut | walnuts","אגוז זהב | אגוז זהב | אגוז זהב | אגוז | אגוזים | אגוז מלך | אגוזי מלך",""
"91","floor","רצפה",""
"92","candle","נר",""
"93","bed","מיטה",""
"94","programmed | wrote","תכנת | כתב",""
"95","stairs | stairway | steps","מדרגות | גרם מדרגות | צעדים",""
"96","reach","להגיע | לגעת | להושיט יד",""
"97","mushroom | mushrooms | toadstool | toadstools","פטרייה | פטריות | פטרית רעל | פטריות רעל | פטריה",""
"98","stalactite | stalactites | stalagmite | stalagmites","נטיפי אבן | נטיפי אבן | נטיפי אבן עולים | נטיפי אבן עולים | נטיפים",""
"99","consume | eat","לצרוך | לאכול | אכול | צרוך",""
"100","kitchen","מטבח",""
"101","cabinet | cabinets | cupboard","ארון | ארונות | ארון כלים",""
"102","can | cans","פחית | פחיות",""
"103","table","שולחן",""
"104","wake","להתעורר",""
"105","pound","הלום | חבוט",""
"106","well","באר",""
"107","bottle | bottles","בקבוק | בקבוקים",""
"108","egg | gold egg | golden egg","ביצה | ביצת זהב | ביצת זהב",""
"109","rub","שפשף",""
"110","what is | whats","מה זה | מה זה",""
"111","lamp","מנורה",""
"112","hush | quiet | silence","שקט | שקט | דממה",""
"113","last name | name","שם משפחה | שם",""
"114","ring","טבעת",""
"115","bird nest | birds nest | nest","קן ציפור | קן ציפורים | קן | קן הציפור",""
"116","mouse","עכבר",""
"117","witch","מכשפה",""
"118","big bird | bird | condor | eagle","ציפור גדולה | ציפור | קונדור | נשר | ציפור הגדולה",""
"119","troll","טרול"
"120","beg","להתחנן",""
"121","bury | plant","לקבור | לשתול | לזרוע | שתול | קבור | זרע",""
"122","bean | beans | magic beans","שעועית | שעועיות | שעועיות קסומות | אפונה | אפונים | אפוני קסם | אפונת קסם | שעועית קסם",""
"123","beanstalk | stalk","גבעול שעועית | גבעול | גבעול אפונה",""
"124","aid | assist | care | help","לעזור | לסייע | לטפל | לעזור",""
"125","put on | wear","ללבוש | לבש | ענוד",""
"126","feed | feed broth | feed soup | feed the soup","להאכיל | להאכיל מרק | להאכיל מרק | להאכיל את המרק",""
"127","diamond | diamonds | pouch of diamonds","יהלום | יהלומים | כיס יהלומים",""
"128","sceptre","שרביט",""
"129","cheese | swiss cheese","גבינה | גבינה שוויצרית",""
"130","slide","להחליק",""
"131","wolf","זאב",""
"132","graham | grahams","גרהם | של גרהם",""
"133","rope","חבל",""
"134","lower","להוריד | הורד",""
"135","raise","להעלות | העלה",""
"136","ladder","סולם",""
"137","room","חדר",""
"138","untie","להתיר",""
"139","cast | throw | toss","להטיל | לזרוק | להשליך | זרוק | הטל",""
"140","drop | put","להפיל | לשים",""
"141","save","שמור",""
"142","go down","לרדת",""
"143","candy","סוכרייה | סוכריות | ממתקים | ממתק",""
"144","message","הודעה",""
"145","exit","יציאה",""
"146","game","משחק",""
"147","restore","לשחזר",""
"148","giant","ענק",""
"149","hello | hi","שלום | היי",""
"150","knock","דפוק | נקוש | הקש",""
"151","water","מים",""
"152","chest","תיבה",""
"153","fence | goat pen | pen","גדר | מכלאת עיזים | מכלאה | דיר",""
"154","follow","לעקוב",""
"155","sit | sit down","לשבת | לשבת",""
"156","cut","גזור | חתוך",""
"157","get out | leave","לצאת | לעזוב",""
"158","oven | stove | woodstove","תנור | כיריים | תנור עצים",""
"159","normal","רגיל",""
"160","fast","מהיר | מהר",""
"161","slow","איטי | לאט",""
"162","cage","כלוב",""
"163","feel","להרגיש",""
"164","fly | fly away","לעוף | לעוף הרחק",""
"165","home","בית",""
"166","sleep","לישון",""
"167","note","הערה | פתק",""
"168","move | pull | push | shove","להזיז | למשוך | לדחוף | הזז | משוך | דחוף | דחף",""
"169","rumpelstiltskin | rumplestiltskin","גמד זקן | עוץ לי גוץ לי",""
"170","nikstlitselpmur","לי גוץ לי עוץ | יל ץוג יל ץוע | יל צוג יל צוע",""
"171","ifnkovhgroghprm","זפה כמ רפה כמ | זפה כם רפה כם",""
"172","pry","לנתק",""
"173","abracadabra","אברקדברה",""
"174","sesame","שושמה | סומסום | שומשום",""
"175","look under","להסתכל מתחת | הסתכל מתחת | הבט מתחת | להביט מתחת",""
"176","nap","תנומה | שינה",""
"177","my name","השם שלי",""
"178","fairy | fairy godmother | girl | godmother | lady | wife | woman | woodcutters wife","פיה | פיה שומרת | ילדה | שומרת | גבירה | אישה | אישה | אשת חוטב העצים | אשה | חוטבת",""
"179","people","אנשים",""
"180","yes","כן",""
"181","no","לא",""
"182","buy | purchase","לקנות | לרכוש",""
"183","steal","לגנוב",""
"184","look for","לחפש",""
"185","remove | take off","להסיר",""
"186","river | stream","נהר | זרם | נחל",""
"187","blow out","לכבות",""
"188","fill","מלא",""
"189","stew","תבשיל",""
"190","lid","מכסה",""
"191","fire | fireplace","אש | אח",""
"192","lift","לשאת",""
"193","back","אחורה",""
"194","fishing","דיג",""
"195","fiddle | guitar | violin","כינור | גיטרה | כינור",""
"196","leprechaun | leprechauns | leps","לפרקון | לפרקונים | לפרקונים | גמדים | ננסים | לפרכונים | לפרכון",""
"197","say","לומר | להגיד",""
"198","silver","כסף",""
"199","gold | golden","זהב | זהוב",""
"200","look down","להסתכל למטה | הסתכל למטה | הבט למטה | להביט למטה",""
"201","point","לכוון",""
"202","let","לתת",""
"203","look in | look inside | look into","להביט אל תוך | להביט לתוך | להביט בתוך | הבט אל תוך | הבט לתוך | הבט בתוך | להסתכל אל תוך | להסתכל לתוך | להסתכל בתוך | הסתכל אל תוך | הסתכל לתוך | הסתכל בתוך",""
"204","thank | thank you","להודות | תודה לך | תודה",""
"205","throne","כס מלכות | כס | כסא",""
"206","shield","מגן",""
"207","get off","לרדת",""
"208","king | king edward","מלך | המלך אדוארד",""
"209","get on | ride","לעלות | לרכוב | לרכב",""
"210","format | init | initialize","לפרמט | להתחיל",""
"211","disk","דיסק",""
"212","cap | hat | hats","כובע | כובע | כובעים",""
"213","coin | coins","מטבע | מטבעות",""
"214","crack","לסדוק",""
"215","taste","לטעום | טעם",""
"216","one","אחד",""
"217","them","אותם",""
"218","both","שניהם",""
"219","chair | chairs","כיסא | כיסאות",""
"220","bureau | dresser","שידה | שידה",""
"221","drawer","מגירה",""
"222","ramp","רמפה",""
"223","word","מילה",""
"224","jump | leap","לקפוץ | לזנק | קפוץ | זנק",""
"225","stump | stumps","גדם | גדמים | גזע",""
"226","sp","sp",""
"227","across","מעבר | צד שני",""
"228","rat","חולדה",""
"229","priority","עדיפות",""
"230","key hole | keyhole","חור מנעול | חור המנעול",""
"231","look up","להסתכל למעלה | הסתכל למעלה | הבט למעלה | להביט למעלה",""
"232","sky","שמיים",""
"233","var","משתנה",""
"234","yell","לצרוח",""
"235","reset","לאפס",""
"236","pew","ספסל כנסייה",""
"237","love","אהבה",""
"238","set","לקבוע",""
"239","bow","לקוד | להשתחוות | לכרוע ברך | קוד | השתחווה | כרע ברך",""
"240","duck | squat","ברווז | להכרע | התכופף | לכרוע",""
"241","count","לספור",""
"242","finger | fingers","אצבע | אצבעות",""
"243","bottom","תחתית",""
"244","beach","חוף",""
"245","walnut tree","עץ אגוז מלך | עץ אגוז | עץ אגוזים",""
"246","pocket","כיס",""
"247","mikel | mikel knight","מיכאל | מיכאל נייט",""
"248","pine tree","עץ אורן",""
"249","lake | pond","אגם | בריכה",""
"250","oak","אלון",""
"251","view","נוף",""
"252","curtain | curtains","וילון | וילונות",""
"253","shelf","מדף",""
"254","roof","גג",""
"255","look around","להסתכל מסביב | הסתכל מסביב | הבט מסביב | להביט מסביב",""
"256","rock wall | wall","קיר סלע | קיר | גדר אבן | גדר אבנים | קיר אבנים",""
"257","beaver | beavers","בונה | בונים",""
"258","path","שביל",""
"259","bedroom","חדר שינה",""
